country,language,eval_method,iter_first_score,iter_last_score,improvement,improvement_pct
Indonesia,English,SEM-B,12.5,13.958333333333334,1.458333333333334,11.666666666666671
Indonesia,English,SEM-W,10.67013888888889,12.111111111111112,1.4409722222222232,13.504718516108047
China,English,SEM-W,11.856540084388186,12.40154711673699,0.5450070323488045,4.5966785290628716
North_Korea,English,SEM-W,7.845345345345345,8.314564564564563,0.4692192192192177,5.9808612440191204
Greece,English,SEM-W,11.206521739130434,11.45289855072464,0.24637681159420666,2.1985127707727465
Assam,English,SEM-W,8.979734451432563,9.206848357791754,0.22711390635919138,2.5291828793774545
North_Korea,English,SEM-B,9.684684684684685,9.90990990990991,0.22522522522522515,2.3255813953488365
Northern_Nigeria,English,SEM-W,9.12820512820513,9.34065934065934,0.21245421245420992,2.3274478330657824
China,English,SEM-B,13.924050632911392,14.135021097046414,0.21097046413502163,1.515151515151519
Iran,English,SEM-W,11.88230994152047,12.010233918128655,0.12792397660818544,1.0765918179021694
Iran,English,SEM-B,13.37719298245614,13.37719298245614,0.0,0.0
Assam,English,SEM-B,10.90146750524109,10.69182389937107,-0.20964360587002062,-1.92307692307692
US,English,SEM-B,17.35357917570499,17.136659436008678,-0.21691973969631206,-1.2499999999999982
Greece,English,SEM-B,13.91304347826087,13.695652173913045,-0.2173913043478244,-1.5624999999999878
US,English,SEM-W,15.383224873463485,15.07953723788865,-0.30368763557483547,-1.974148061104571
Northern_Nigeria,English,SEM-B,10.989010989010987,10.54945054945055,-0.439560439560438,-3.9999999999999862
Mexico,English,SEM-W,11.638830897703553,11.148225469728605,-0.4906054279749483,-4.215246636771304
UK,English,SEM-W,14.87938596491228,14.294590643274857,-0.584795321637424,-3.930238270695141
South_Korea,English,SEM-W,12.877192982456142,12.29122807017544,-0.5859649122807014,-4.550408719346046
Spain,English,SEM-B,13.219616204690832,12.57995735607676,-0.6396588486140722,-4.838709677419352
Azerbaijan,English,SEM-B,13.432835820895525,12.79317697228145,-0.639658848614074,-4.761904761904772
West_Java,English,SEM-W,8.98835516739447,8.275109170305676,-0.7132459970887943,-7.935222672064804
Ethiopia,English,SEM-W,9.646892655367232,8.923022598870057,-0.7238700564971747,-7.503660322108341
Spain,English,SEM-W,11.6453447050462,10.8955223880597,-0.749822316986501,-6.438815990235011
Ethiopia,English,SEM-B,11.864406779661016,11.016949152542372,-0.8474576271186436,-7.14285714285714
Algeria,English,SEM-W,11.945080091533182,10.964912280701752,-0.9801678108314302,-8.205619412515995
Mexico,English,SEM-B,13.778705636743217,12.734864300626306,-1.0438413361169108,-7.575757575757579
South_Korea,English,SEM-B,14.947368421052632,13.894736842105262,-1.05263157894737,-7.042253521126771
West_Java,English,SEM-B,10.262008733624455,9.170305676855897,-1.0917030567685586,-10.638297872340422
UK,English,SEM-B,16.885964912280702,15.789473684210526,-1.0964912280701764,-6.493506493506499
Algeria,English,SEM-B,13.958810068649884,12.814645308924485,-1.144164759725399,-8.1967213114754
Azerbaijan,English,SEM-W,12.366737739872068,11.115849324804552,-1.2508884150675161,-10.114942528735604
